"Station","Name","Höhe","Longitude","Latitude","Time","Temperatur (°C)","Niederschlag (mm)","Sonnenschein (min)","Globalstrahlung (W/m^2)","Luftfeuchtigkeit (%)","Windgeschwindigkeit (km/h)","Index"
"TAE","Aadorf/Tänikon",539,"710517","259824",201905121340,10.9,0,0,384,50,13.7,45
"COM","Acquarossa/Comprovasco",575,"714984","146451",201905121340,13.9,0,0,399,29,37.1,38
"ABO","Adelboden",1322,"609350","149001",201905121340,7.6,0,9,1027,47,28.4,43
"AIG","Aigle",381,"560404","130713",201905121340,13.9,0,3,417,46,11.5,50
"ALT","Altdorf",438,"690180","193564",201905121340,10.2,0,1,308,62,7.2,51
"ARH","Altenrhein",398,"760382","261386",201905121340,7.7,0,0,218,85,10.1,49
"AND","Andeer",987,"752691","164038",201905121340,6.5,0,0,198,59,18.7,39
"ANT","Andermatt",1438,"687444","165044",201905121340,3.5,0,0,719,56,34.2,35
"ARO","Arosa",1878,"771030","184825",201905121340,-2.2,0,0,227,80,13,40
"RAG","Bad Ragaz",496,"756910","209350",201905121340,6.6,0.2,0,131,77,25.2,18
"BAN","Bantiger",941,"606850","202975",201905121340,-,-,0,191,-,-,-
"BAS","Basel/Binningen",316,"610908","265611",201905121340,10.8,0.1,0,74,71,9.7,29
"LAT","Bergün/Latsch",1407,"777273","166618",201905121340,2.5,0,-,-,80,13.3,-
"BER","Bern/Zollikofen",552,"601933","204409",201905121340,11.1,0,4,511,56,10.4,51
"BEZ","Beznau",325,"659812","267696",201905121340,14.3,0,10,871,38,9,57
"BIA","Biasca",278,"718550","132800",201905121340,16.2,0,0,338,25,41.4,39
"BIN","Binn",1479,"657996","135422",201905121340,6.4,0,-,-,34,8.3,-
"BIZ","Bischofszell",470,"735325","262285",201905121340,9.7,0,0,276,64,10.4,48
"BIV","Bivio",1856,"771281","148119",201905121340,-1.7,0.2,-,-,83,13.3,-
"BIE","Bière",683,"515887","153210",201905121340,12,0,8,731,48,23.4,46
"BLA","Blatten, Lötschental",1538,"629564","141084",201905121340,6.3,0,10,969,37,15.1,46
"BOL","Boltigen",820,"595831","163587",201905121340,9.3,0,0,134,46,23.8,36
